PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Size,Input case,CPU - readCSV,Time - readCSV,Memory - readCSV,CPU % of PKG,PKG %,full EC,nlog(n)
6.920202957956414,6.021929289165296,0.38064896432976975,730.7383421052631,66.65789473684211,600000.0,random3,0.7177744596198421,114.37534210526326,0.05631184311764853,87.0195473420568,100,0.7740863027374907,11516761.78509478
7.755082563920454,6.749896425189394,0.4144305604876894,834.3005151515152,67.15151515151516,700000.0,random3,0.7082200946229875,129.1723401515154,0.03436006488222065,87.03835671063564,100,0.7425801595052082,13591896.77754609
8.236373901367188,7.162914699978298,0.4416080050998264,893.8814166666666,66.72222222222223,800000.0,random3,0.8863181682548138,138.55029545454533,0.07017393786497789,86.96684713147006,100,0.9564921061197917,15687712.37954945
8.711046006944445,7.57330322265625,0.4674496120876736,950.8468611111114,67.58333333333333,900000.0,random3,0.9414418538411455,138.2487500000001,0.0797576904296875,86.93907960787733,100,1.021199544270833,17801608.928291213
9.140450142525339,7.932978449641047,0.5018557986697635,1012.5175405405405,67.4054054054054,1000000.0,random3,1.0279773228381623,153.49354054054027,0.09873737168659041,86.7898005671886,100,1.1267146945247528,19931568.569324173
2.216933356391059,1.9149966769748263,0.1341094970703125,229.04563888888885,63.30555555555556,25000.0,random4,0.1274070516664383,2.9728494152047062,0.010209736071134873,86.38043500289271,100,0.13761678773757316,365241.0118609203
2.9101158464458625,2.5309302101672535,0.1694791552046655,285.03021126760564,66.56338028169014,50000.0,random4,0.24853071472454502,17.705144600938922,0.01576414869424883,86.97008448162948,100,0.2642948634187938,780482.0237218406
3.486067119397615,3.0294301886307564,0.20997459010074013,336.9493552631578,69.67105263157895,75000.0,random4,0.37796567480052,36.183436344238885,0.028319118711382013,86.90108609137266,100,0.40628479351190205,1214595.2231368476
3.9521412096525492,3.442373978464227,0.22841604132401316,375.1018684210526,70.69736842105263,100000.0,random4,0.38700684375138916,36.25603058321468,0.02520526218549965,87.10149247847502,100,0.41221210593688884,1660964.0474436812
4.961460061269264,4.332688423052226,0.2763939426369863,466.274794520548,72.75342465753425,200000.0,random4,0.33284022844084804,23.72499964875317,0.01560480501679401,87.32688300515751,100,0.34844503345764205,3521928.0948873623
5.577470010785914,4.851478690531716,0.3088588429920709,540.834447761194,73.22388059701493,300000.0,random4,0.6218448142761357,69.1282334754797,0.04440658992287444,86.98350114209042,100,0.6662514041990102,5458380.89254739
5.949271177634214,5.1712810809795675,0.33466906425280446,581.2661794871794,72.25641025641026,400000.0,random4,0.7692359083655473,66.15928759528765,0.06104680918523692,86.92293436581888,100,0.8302827175507843,7443856.189774725
6.383630724920743,5.546228381170743,0.3492537788722826,643.9354927536231,71.98550724637681,500000.0,random4,0.5760631284851963,69.02733650362302,0.03955567401388416,86.88203657393737,100,0.6156188024990804,9465784.284662087
6.907078098606419,6.012662320523648,0.37868520375844594,727.9561621621622,66.70270270270271,600000.0,random4,0.5250631383947422,97.75616216216247,0.03384877797719593,87.05073599409235,100,0.558911916371938,11516761.78509478
7.707530628551137,6.705372203480113,0.4105021158854167,834.9020303030303,67.03030303030303,700000.0,random4,0.798386390763099,138.45480808080833,0.0414886474609375,86.99767184370685,100,0.8398750382240365,13591896.77754609
8.250983537946428,7.17769775390625,0.44442661830357144,893.1964571428572,67.42857142857143,800000.0,random4,0.8487930790070557,137.6987474654378,0.06846580681163594,86.99202611295831,100,0.9172588858186916,15687712.37954945
8.853819056919642,7.700338309151785,0.47916782924107143,966.1527142857143,66.22857142857143,900000.0,random4,0.6891219254378429,125.29294505494522,0.05799238603193679,86.97194125662234,100,0.7471143114697797,17801608.928291213
8.9684521484375,7.7782470703125,0.48990234375,1009.9602799999999,66.48,1000000.0,random4,0.8544221576891449,138.3586747368421,0.0893462813527961,86.728980002058,100,0.943768439041941,19931568.569324173
2.3250618489583332,2.01153564453125,0.13767008463541666,237.65765333333334,63.48,25000.0,random5,0.0931832449776786,5.562539047619055,0.007870977492559522,86.51536067448923,100,0.10105422247023813,365241.0118609203
2.7969145903716215,2.4290144636824325,0.16621192725929054,274.171891891892,67.12162162162163,50000.0,random5,0.21527806580296804,18.329063320463405,0.015327789424469107,86.84621518455783,100,0.23060585522743715,780482.0237218406
3.3795887340198862,2.940620719612419,0.20044341644683442,324.1465974025974,69.97402597402598,75000.0,random5,0.3289989660228918,23.653813618813615,0.02237747208450333,87.01120020940145,100,0.35137643810739516,1214595.2231368476
3.9097994290865383,3.404671693459535,0.2239990234375,373.3297179487178,70.78205128205128,100000.0,random5,0.3847758387103575,36.919191632928346,0.02466784025493421,87.0804693491651,100,0.40944367896529166,1660964.0474436812
4.9947579520089285,4.360505894252232,0.27825491768973215,471.0404428571428,72.37142857142857,200000.0,random5,0.30265082614325767,33.454955677655676,0.0188633286472642,87.30164576840814,100,0.32151415479052187,3521928.0948873623
5.493193290602993,4.78217412384463,0.2999920912191901,531.3639718309857,73.25352112676056,300000.0,random5,0.587625547735759,52.77319763743725,0.03727118333108531,87.05635995051043,100,0.6248967310668443,5458380.89254739
